muni,url
内閣官房,https://www.cas.go.jp/index.html
内閣府地方創生,https://www.chisou.go.jp/sousei/news/index.html
金融庁,https://www.fsa.go.jp/fsaNewsListAll_rss2.xml
金融庁,https://www.fsa.go.jp/fsaProcurementList_rss2.xml
消費者庁,https://www.caa.go.jp/news.rss
こども家庭庁,https://www.cfa.go.jp/news
デジタル庁,https://www.digital.go.jp/rss/news.xml
総務省,https://www.soumu.go.jp/news.rdf
文部科学省,https://www.mext.go.jp/b_menu/news/index.html
スポーツ庁,https://www.mext.go.jp/sports/b_menu/news/index.htm
文化庁,https://www.bunka.go.jp/whats_new.html
厚生労働省,https://www.mhlw.go.jp/stf/news.rdf
農林水産省,https://www.maff.go.jp/rss.xml
林野庁,https://www.rinya.maff.go.jp/j/press/
水産庁,https://www.jfa.maff.go.jp/j/press/
経済産業省,https://www.meti.go.jp/press/index.html
資源エネルギー庁,https://www.enecho.meti.go.jp/notice/whatsnew/
中小企業庁,https://www.chusho.meti.go.jp/rss/index.xml
国土交通省,https://www.mlit.go.jp/index.rdf
観光庁,https://www.mlit.go.jp/kankocho/news_2026_00002.html
環境省,https://www.env.go.jp/guide/past_info.html
